date,season,team,player,transaction_type,direction,method,source_url,notes
2019-06-20,2019-20,ORL,Chuma Okeke,draft,in,1st round pick #16 (2019 NBA Draft),https://www.basketball-reference.com/teams/ORL/2019_transactions.html,
2019-06-20,2019-20,ORL,Talen Horton-Tucker,draft,in,2nd round pick #46 (2019 NBA Draft),https://www.basketball-reference.com/teams/ORL/2019_transactions.html,
2019-06-20,2019-20,ORL,Talen Horton-Tucker,traded_away,out,traded to Lakers for cash and a 2020 2nd-rd pick (draft-day trade),https://www.basketball-reference.com/teams/ORL/2019_transactions.html,Never played for ORL; dealt same night as drafted
2019-07-06,2019-20,ORL,Nikola Vucevic,free_agent_signing,in,signed as unrestricted free agent,https://www.basketball-reference.com/teams/ORL/2020_transactions.html,
2019-07-06,2019-20,ORL,Terrence Ross,free_agent_signing,in,signed as unrestricted free agent,https://www.basketball-reference.com/teams/ORL/2020_transactions.html,
2019-07-06,2019-20,ORL,Al-Farouq Aminu,free_agent_signing,in,signed as unrestricted free agent,https://www.basketball-reference.com/teams/ORL/2020_transactions.html,
2019-07-06,2019-20,ORL,Timofey Mozgov,waived,out,waived,https://www.basketball-reference.com/teams/ORL/2020_transactions.html,
2019-07-10,2019-20,ORL,Khem Birch,free_agent_signing,in,signed as free agent,https://www.basketball-reference.com/teams/ORL/2020_transactions.html,
2020-02-06,2019-20,ORL,James Ennis,trade,in,acquired from Philadelphia for a 2020 2nd-rd pick,https://www.basketball-reference.com/teams/ORL/2020_transactions.html,
2020-11-18,2020-21,ORL,Cole Anthony,draft,in,1st round pick #15 (2020 NBA Draft),https://www.basketball-reference.com/teams/ORL/2020_transactions.html,2020 draft delayed to Nov. due to COVID-19
2021-03-25,2020-21,ORL,Wendell Carter Jr.,trade,in,"acquired from Chicago (w/ Otto Porter Jr. and two future 1st-rd picks) for Nikola Vucevic and Al-Farouq Aminu",https://www.espn.com/espn/print?id=31133908,ANCHOR trade; BBR page text was corrupted for this entry (player names missing) -- confirmed via ESPN/NBA.com/ClickOrlando
2021-03-25,2020-21,ORL,Otto Porter Jr.,trade,in,acquired from Chicago in same trade as Wendell Carter Jr.,https://www.espn.com/espn/print?id=31133908,
2021-03-25,2020-21,ORL,Nikola Vucevic,traded_away,out,"traded to Chicago (w/ Al-Farouq Aminu) for Wendell Carter Jr., Otto Porter Jr., two future 1st-rd picks",https://www.espn.com/espn/print?id=31133908,
2021-03-25,2020-21,ORL,Al-Farouq Aminu,traded_away,out,traded to Chicago in same Vucevic trade,https://www.espn.com/espn/print?id=31133908,
2021-03-25,2020-21,ORL,Gary Harris,trade,in,"acquired from Denver (w/ R.J. Hampton and a protected 2025 1st-rd pick) for Aaron Gordon and Gary Clark",https://www.nba.com/magic/orlando-magic-acquire-rj-hampton-garry-harris-draft-pick-denver-nuggets-aaron-gordon-gary-clark-trade-20210325,BBR page text corrupted for this entry -- confirmed via NBA.com/Denver7/ESPN
2021-03-25,2020-21,ORL,R.J. Hampton,trade,in,acquired from Denver in same Aaron Gordon trade,https://www.nba.com/magic/orlando-magic-acquire-rj-hampton-garry-harris-draft-pick-denver-nuggets-aaron-gordon-gary-clark-trade-20210325,
2021-03-25,2020-21,ORL,Aaron Gordon,traded_away,out,"traded to Denver (w/ Gary Clark) for Gary Harris, R.J. Hampton, protected 2025 1st-rd pick",https://www.nba.com/magic/orlando-magic-acquire-rj-hampton-garry-harris-draft-pick-denver-nuggets-aaron-gordon-gary-clark-trade-20210325,
2021-03-25,2020-21,ORL,Gary Clark,traded_away,out,traded to Denver in same Aaron Gordon trade,https://www.nba.com/magic/orlando-magic-acquire-rj-hampton-garry-harris-draft-pick-denver-nuggets-aaron-gordon-gary-clark-trade-20210325,
2021-03-25,2020-21,ORL,Evan Fournier,traded_away,out,traded to Boston for a 2025 2nd-rd pick and a trade exception (no player back),https://www.basketball-reference.com/teams/ORL/2021_transactions.html,
2021-03-27,2020-21,ORL,Jeff Teague,waived,out,waived,https://www.basketball-reference.com/teams/ORL/2021_transactions.html,
2021-04-08,2020-21,ORL,Khem Birch,waived,out,waived,https://www.basketball-reference.com/teams/ORL/2021_transactions.html,
2021-07-29,2021-22,ORL,Jalen Suggs,draft,in,1st round pick #5 (2021 NBA Draft),https://www.basketball-reference.com/teams/ORL/2021_transactions.html,ANCHOR
2021-07-29,2021-22,ORL,Franz Wagner,draft,in,1st round pick #8 (2021 NBA Draft),https://www.basketball-reference.com/teams/ORL/2021_transactions.html,ANCHOR
2021-07-29,2021-22,ORL,Jason Preston,draft,in,2nd round pick #33 (2021 NBA Draft),https://www.basketball-reference.com/teams/ORL/2021_transactions.html,
2021-07-29,2021-22,ORL,Jason Preston,traded_away,out,traded to LA Clippers for cash and a 2026 2nd-rd pick,https://www.basketball-reference.com/teams/ORL/2022_transactions.html,
2022-02-10,2021-22,ORL,Bol Bol,trade,in,"acquired from Boston (w/ P.J. Dozier, cash, future 2nd) for a 2023 2nd-rd pick",https://www.basketball-reference.com/teams/ORL/2022_transactions.html,
2022-02-10,2021-22,ORL,P.J. Dozier,trade,in,acquired from Boston in same Bol Bol trade,https://www.basketball-reference.com/teams/ORL/2022_transactions.html,
2022-06-23,2022-23,ORL,Paolo Banchero,draft,in,1st round pick #1 (2022 NBA Draft),https://www.basketball-reference.com/teams/ORL/2022_transactions.html,ANCHOR
2022-06-23,2022-23,ORL,Caleb Houstan,draft,in,2nd round pick #32 (2022 NBA Draft),https://www.basketball-reference.com/teams/ORL/2022_transactions.html,
2023-02-09,2022-23,ORL,Patrick Beverley,trade,in,acquired from LA Lakers (4-team trade) for Mo Bamba,https://www.basketball-reference.com/teams/ORL/2023_transactions.html,
2023-02-09,2022-23,ORL,Mo Bamba,traded_away,out,traded to LA Lakers (4-team trade) for Patrick Beverley,https://www.basketball-reference.com/teams/ORL/2023_transactions.html,
2023-02-12,2022-23,ORL,Patrick Beverley,waived,out,waived days after acquisition,https://www.basketball-reference.com/teams/ORL/2023_transactions.html,
2023-02-12,2022-23,ORL,Terrence Ross,waived,out,waived,https://www.basketball-reference.com/teams/ORL/2023_transactions.html,
2023-06-22,2023-24,ORL,Anthony Black,draft,in,1st round pick #6 (2023 NBA Draft),https://www.basketball-reference.com/teams/ORL/2023_transactions.html,
2023-06-22,2023-24,ORL,Jett Howard,draft,in,1st round pick #11 (2023 NBA Draft),https://www.basketball-reference.com/teams/ORL/2023_transactions.html,
2023-06-22,2023-24,ORL,Andre Jackson Jr.,draft,in,2nd round pick #36 (2023 NBA Draft),https://www.basketball-reference.com/teams/ORL/2023_transactions.html,
2023-06-22,2023-24,ORL,Andre Jackson Jr.,traded_away,out,traded to Milwaukee for cash and a 2030 2nd-rd pick (draft-day trade),https://www.basketball-reference.com/teams/ORL/2023_transactions.html,
2023-07-04,2023-24,ORL,Bol Bol,waived,out,waived,https://www.basketball-reference.com/teams/ORL/2024_transactions.html,
2023-07-07,2023-24,ORL,Joe Ingles,free_agent_signing,in,signed as free agent,https://www.basketball-reference.com/teams/ORL/2024_transactions.html,
2023-07-11,2023-24,ORL,Moritz Wagner,extension,in,signed multi-year extension,https://www.basketball-reference.com/teams/ORL/2024_transactions.html,
2024-06-26,2024-25,ORL,Tristan da Silva,draft,in,1st round pick #18 (2024 NBA Draft),https://www.basketball-reference.com/teams/ORL/2024_transactions.html,
2024-06-27,2024-25,ORL,Antonio Reeves,draft,in,2nd round pick #47 (2024 NBA Draft),https://www.basketball-reference.com/teams/ORL/2024_transactions.html,
2024-06-27,2024-25,ORL,Antonio Reeves,traded_away,out,traded to New Orleans for 2030 and 2031 2nd-rd pick swap rights,https://www.basketball-reference.com/teams/ORL/2025_transactions.html,Also appears in NOP CSV (Reeves acquired by NOP)
2024-07-06,2024-25,ORL,Kentavious Caldwell-Pope,free_agent_signing,in,"signed as UFA, 3yr/$66M with player option on Yr3",https://www.nba.com/magic/news/orlando-magic-sign-free-agent-kentavious-caldwell-pope-20240706,ANCHOR
2024-07-06,2024-25,ORL,Goga Bitadze,free_agent_signing,in,re-signed to multi-year contract,https://www.basketball-reference.com/teams/ORL/2025_transactions.html,
2024-07-06,2024-25,ORL,Moe Wagner,extension,in,re-signed to multi-year contract,https://www.basketball-reference.com/teams/ORL/2025_transactions.html,
2024-07-06,2024-25,ORL,Gary Harris,free_agent_signing,in,re-signed to multi-year contract,https://www.basketball-reference.com/teams/ORL/2025_transactions.html,
2024-07-19,2024-25,ORL,Cory Joseph,free_agent_signing,in,signed to multi-year contract,https://www.basketball-reference.com/teams/ORL/2025_transactions.html,
2025-06-15,2025-26,ORL,Desmond Bane,trade,in,"acquired from Memphis for Cole Anthony, Kentavious Caldwell-Pope, and five future 1st-rd picks/swaps",https://www.basketball-reference.com/teams/ORL/2025_transactions.html,
2025-06-15,2025-26,ORL,Cole Anthony,traded_away,out,traded to Memphis (w/ KCP + five future 1sts/swaps) for Desmond Bane,https://www.basketball-reference.com/teams/ORL/2025_transactions.html,
2025-06-15,2025-26,ORL,Kentavious Caldwell-Pope,traded_away,out,traded to Memphis (w/ Cole Anthony + five future 1sts/swaps) for Desmond Bane,https://www.basketball-reference.com/teams/ORL/2025_transactions.html,
2025-06-25,2025-26,ORL,Jase Richardson,draft,in,1st round pick #25 (2025 NBA Draft),https://www.basketball-reference.com/teams/ORL/2025_transactions.html,
2025-06-25,2025-26,ORL,Amari Williams,draft,in,2nd round pick #46 (2025 NBA Draft),https://www.basketball-reference.com/teams/ORL/2025_transactions.html,
2025-06-25,2025-26,ORL,Max Shulga,draft,in,2nd round pick #57 (2025 NBA Draft),https://www.basketball-reference.com/teams/ORL/2025_transactions.html,
2025-06-26,2025-26,ORL,Max Shulga,traded_away,out,traded to Boston (w/ Amari Williams + two future 2nds) for Noah Penda,https://www.basketball-reference.com/teams/ORL/2025_transactions.html,
2025-06-26,2025-26,ORL,Amari Williams,traded_away,out,traded to Boston (w/ Max Shulga + two future 2nds) for Noah Penda,https://www.basketball-reference.com/teams/ORL/2025_transactions.html,
2025-06-26,2025-26,ORL,Noah Penda,trade,in,"acquired from Boston for Max Shulga, Amari Williams, two future 2nds",https://www.basketball-reference.com/teams/ORL/2025_transactions.html,
2025-07-06,2025-26,ORL,Tyus Jones,free_agent_signing,in,signed as free agent,https://www.basketball-reference.com/teams/ORL/2026_transactions.html,ANCHOR
2025-07-07,2025-26,ORL,Moe Wagner,free_agent_signing,in,re-signed,https://www.basketball-reference.com/teams/ORL/2026_transactions.html,
2026-02-04,2025-26,ORL,Tyus Jones,traded_away,out,"traded to Charlotte for cash considerations (ORL sent 2027 and 2028 2nd-rd picks, received trade exception)",https://www.nba.com/magic/news/orlando-magic-charlotte-hornets-trade-tyus-jones-second-round-picks-cash-considerations-20260204,
2026-02-06,2025-26,ORL,Jevon Carter,free_agent_signing,in,signed as free agent,https://www.basketball-reference.com/teams/ORL/2026_transactions.html,
2026-06-24,2026-27,ORL,Felix Okpara,draft,in,2nd round pick #46 (2026 NBA Draft),https://www.basketball-reference.com/teams/ORL/2026_transactions.html,
2026-06-24,2026-27,ORL,Felix Okpara,traded_away,out,traded to Washington in 3-team draft-night trade (draft-day flip),https://www.basketball-reference.com/teams/ORL/2026_transactions.html,Never played for ORL
2026-06-24,2026-27,ORL,Malique Lewis,traded_away,out,traded to Milwaukee in 3-team draft-night trade,https://www.basketball-reference.com/teams/ORL/2026_transactions.html,
2026-06-24,2026-27,ORL,Izaiyah Nelson,trade,in,acquired from Washington (plus cash) in 3-team draft-night trade,https://www.basketball-reference.com/teams/ORL/2026_transactions.html,
2026-07-01,2026-27,ORL,Nikola Vucevic,free_agent_signing,in,"signed as UFA, 1yr/$3.9M -- returns to ORL after 2021 trade to Chicago",https://orlandomagic.com/news/orlando-magic-nikola-vucevic-sign-free-agent-20260701,
2026-07-01,2026-27,ORL,Jevon Carter,free_agent_signing,in,re-signed as unrestricted free agent,https://basketball.realgm.com/nba/teams/Orlando-Magic/21/Transaction-History,
2026-07-01,2026-27,ORL,Jonathan Isaac,free_agent_signing,in,re-signed as unrestricted free agent,https://orlandomagic.com/news/orlando-magic-jonathan-isaac-sign-free-agent-20260701,
2026-07-01,2026-27,ORL,Jett Howard,free_agent_signing,out,became unrestricted free agent and left ORL,https://basketball.realgm.com/nba/teams/Orlando-Magic/21/Transaction-History,
2026-07-01,2026-27,ORL,Moe Wagner,free_agent_signing,out,became unrestricted free agent and left ORL,https://basketball.realgm.com/nba/teams/Orlando-Magic/21/Transaction-History,
